pp,video,dial,t_begin_s,t_mid_s,t_end_s,duration_s
2,7,3,63.8276,63.96,64.0925,0.2649
2,7,5,64.1498,64.2909,64.432,0.2822
2,7,5,64.4854,64.6358,64.7862,0.3008
2,7,4,64.8372,64.9934,65.1496,0.3124
2,7,4,65.2059,65.3533,65.5006,0.2947
2,7,3,65.5614,65.7105,65.8597,0.2983
2,7,2,65.914,66.0495,66.185,0.2711
2,7,3,66.2394,66.3821,66.5248,0.2853
2,7,6,66.5818,66.7217,66.8616,0.2798
2,7,3,66.9192,67.0592,67.1992,0.2799
2,7,3,67.25,67.4025,67.5549,0.3049
2,7,2,67.6105,67.7563,67.9022,0.2917
2,7,6,67.9565,68.1071,68.2578,0.3014
2,7,1,68.3148,68.4618,68.6088,0.294
2,7,1,68.6547,68.8374,69.0202,0.3656
2,7,2,69.0775,69.2178,69.358,0.2805
2,7,3,69.409,69.5569,69.7048,0.2959
2,7,3,69.7559,69.8975,70.0391,0.2831
2,7,6,70.0976,70.24,70.3823,0.2847
2,7,5,70.4416,70.5823,70.723,0.2814
2,7,3,70.7806,70.9287,71.0768,0.2961
2,7,2,71.131,71.2696,71.4081,0.2771
2,7,1,71.4602,71.6162,71.7723,0.3121
2,7,6,71.8232,71.968,72.1129,0.2897
2,7,5,72.164,72.3031,72.4422,0.2781
2,7,4,72.4956,72.6373,72.779,0.2834
2,7,6,72.8377,72.9806,73.1235,0.2858
2,7,6,73.1821,73.3204,73.4586,0.2765
2,7,2,73.5224,73.6676,73.8127,0.2903
2,7,4,73.867,74.0203,74.1736,0.3066
2,7,1,74.2319,74.3754,74.519,0.2871
2,7,6,74.5741,74.7172,74.8604,0.2863
2,7,4,74.9067,75.0604,75.2141,0.3074
2,7,4,75.2734,75.415,75.5566,0.2832
2,7,6,75.6188,75.7706,75.9224,0.3037
2,7,2,75.9826,76.1298,76.2769,0.2943
2,7,6,76.3202,76.5002,76.6803,0.3601
2,7,6,76.7387,76.8888,77.0388,0.3001
2,7,2,77.0984,77.2394,77.3803,0.2819
2,7,6,77.4269,77.5934,77.7598,0.333
2,7,2,77.8129,77.9592,78.1055,0.2925
2,7,4,78.1576,78.3141,78.4707,0.3131
2,7,3,78.5288,78.6778,78.8268,0.298
2,7,1,78.8757,79.0192,79.1628,0.2871
2,7,1,79.2098,79.3715,79.5332,0.3235
2,7,4,79.5874,79.7374,79.8874,0.3001
2,7,5,79.9432,80.102,80.2607,0.3175
2,7,6,80.3125,80.4687,80.6248,0.3123
2,7,3,80.6852,80.8241,80.963,0.2778
2,7,1,81.0125,81.1633,81.314,0.3014
2,7,3,81.3659,81.51,81.6542,0.2883
2,7,3,81.7055,81.8356,81.9658,0.2603
2,7,1,82.0233,82.1642,82.3052,0.2819
2,7,1,82.3524,82.5101,82.6677,0.3153
2,7,3,82.7178,82.8825,83.0473,0.3296
2,7,6,83.1025,83.2554,83.4084,0.3059
2,7,5,83.4665,83.6039,83.7414,0.2748
2,7,3,83.7949,83.9419,84.0888,0.2939
2,7,6,84.1405,84.2877,84.4348,0.2943
2,7,6,84.4834,84.6278,84.7722,0.2888
2,7,1,84.8355,84.9693,85.103,0.2676
2,7,4,85.1529,85.316,85.479,0.3261
2,7,6,85.5383,85.6781,85.818,0.2797
2,7,6,85.8715,86.0202,86.1689,0.2974
2,7,6,86.2297,86.3767,86.5237,0.294
2,7,1,86.5869,86.73,86.873,0.2861
2,7,1,86.9246,87.0867,87.2488,0.3242
2,7,5,87.3103,87.4541,87.5978,0.2875
2,7,2,87.6512,87.7927,87.9341,0.283
2,7,1,87.9884,88.1367,88.285,0.2966
2,7,1,88.3348,88.4876,88.6405,0.3057
2,7,4,88.6993,88.8412,88.983,0.2837
2,7,1,89.0417,89.1803,89.3189,0.2772
2,7,2,89.3731,89.5129,89.6528,0.2798
2,7,2,89.7051,89.8461,89.9871,0.2821
2,7,1,90.0396,90.2001,90.3607,0.3211
3,7,2,2.052,2.1975,2.3429,0.2909
3,7,1,2.3932,2.5442,2.6952,0.3021
3,7,1,2.7423,2.9055,3.0688,0.3265
3,7,4,3.1294,3.2756,3.4219,0.2925
3,7,1,3.4806,3.6257,3.7708,0.2902
3,7,2,3.8254,3.9673,4.1092,0.2839
3,7,4,4.1623,4.3027,4.443,0.2807
3,7,3,4.4994,4.6398,4.7803,0.2809
3,7,3,4.8276,4.9688,5.11,0.2824
3,7,4,5.1679,5.3123,5.4567,0.2889
3,7,4,5.504,5.6618,5.8197,0.3157
3,7,5,5.8784,6.0314,6.1845,0.3061
3,7,2,6.2405,6.3838,6.5271,0.2866
3,7,6,6.584,6.7267,6.8693,0.2853
3,7,6,6.9266,7.0662,7.2057,0.2791
3,7,3,7.2709,7.4165,7.562,0.2911
3,7,5,7.6177,7.7657,7.9137,0.296
3,7,6,7.9678,8.1171,8.2663,0.2985
3,7,3,8.325,8.4682,8.6113,0.2863
3,7,6,8.6647,8.8184,8.972,0.3073
3,7,5,9.0297,9.1737,9.3178,0.2881
3,7,2,9.3809,9.5277,9.6745,0.2936
3,7,3,9.7296,9.8782,10.0269,0.2973
3,7,3,10.0827,10.2261,10.3695,0.2868
3,7,2,10.4224,10.5724,10.7224,0.3001
3,7,2,10.7779,10.9263,11.0747,0.2969
3,7,5,11.1287,11.2776,11.4266,0.2979
3,7,6,11.4826,11.6292,11.7757,0.2931
3,7,5,11.8339,11.9762,12.1185,0.2846
3,7,3,12.1767,12.3233,12.47,0.2934
3,7,3,12.5243,12.667,12.8097,0.2854
